origin,desc_1,desc_3,roast,agtron
"Pluma Hidalgo, Oaxaca State, Mexico","Rich-toned, deeply sweet. Dried apricot, molasses, almond brittle, freesia-like flowers, cedar in aroma and cup. Sweet structure with gently brisk acidity; very full, syrupy-smooth mouthfeel. Sweetly nut-toned, long finish with notes of almond brittle and molasses.","A deep, engaging, rich Mexico cup with lingering sweetness and spicy floral notes throughout the profile.Explore Similar CoffeesClick here for more reviews from Temple Coffee RoastersClick here for more information about coffees from MexicoVisit Temple Coffee Roasters ",Medium-Light,54/74
"Antigua growing region, Guatemala","Richly sweet-savory, citrus-toned. Tangerine zest, maple syrup, pistachio, rhododendron, baking chocolate in aroma and cup. Balanced structure with gentle, round acidity; full, lightly syrupy mouthfeel. The quiet finish is carried by notes of baking chocolate and pistachio.","A quietly confident Guatemala cup produced by highly regarded Bella Carmona farm — crisply chocolaty, citrusy, richly bittersweet.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from GuatemalaVisit JBC Coffee Roasters ",Light,62/80
"Pluma Hidalgo, Oaxaca State, Mexico","Crisply sweet-tart. Almond butter, yellow plum, milk chocolate, clover flowers, a hint of thyme in aroma and cup. Sweet-toned structure with mild acidity; satiny, delicate mouthfeel. The sweetly nut-toned finish is supported by notes of chocolate and thyme.","A subtly complex Mexico cup, multi-layered and balanced.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from MexicoVisit JBC Coffee Roasters ",Medium-Light,60/78
"Nyeri growing region, south-central Kenya","Crisply sweet-savory. Date, hop flowers, tamarind, oak, cane sugar in aroma and cup. Richly bittersweet structure with lively acidity; velvety-smooth mouthfeel. Sweetly tart finish leads with tamarind notes, supported by sweet aromatic wood.",A savory-leaning Kenya cup — bittersweet with appealing floral tartness rounded by notes of rich cane sugar.Explore Similar CoffeesClick here for more reviews from Mr. Chao CoffeeClick here for more information about coffees from Kenya ,Medium-Light,58/78
"Nyeri growing region, south-central Kenya","Richly sweet-tart. Black currant, almond, cocoa nib, freesia, maple syrup, cedar in aroma and cup. Brightly sweet structure with juicy acidity; crisp, satiny mouthfeel. Nut-toned finish with cedar undertones.","A balanced, vibrant Kenya cup with particularly inviting, high-toned acidity.Explore Similar CoffeesClick here for more reviews from Mr. Chao CoffeeClick here for more information about coffees from Kenya ",Medium-Light,58/76
"Karongi District, western Rwanda","Sweet-toned, gently floral. Baking chocolate, honeysuckle, almond, fresh-cut fir, brown sugar in aroma and cup. Sweet structure with brisk acidity; full, velvety mouthfeel. Gently drying, wood-framed finish with undertones of baking chocolate and almond.",Gently crisp chocolate and honeysuckle-like floral notes animate this Rwanda Bourbon cup.Explore Similar CoffeesClick here for more reviews from Fresh Roasted CoffeeClick here for more information about coffees from Rwanda ,Medium-Light,54/72
Colombia; Ethiopia; Brazil; Costa Rica,"Evaluated as espresso. Deep-toned, chocolaty, fruit-forward. Chocolate fudge, ripe blueberry, fir, molasses, gardenia in aroma and small cup. Crisp, velvety mouthfeel; chocolaty finish supported by notes of fresh-cut fir. In three parts milk richly fruit-centered with blueberry and chocolate fudge notes front and center.","A fruit-driven blend of natural- and honey-processed coffees roasted for espresso — rich, floral, fruity, sweet.Explore Similar CoffeesClick here for more reviews from Eagle Valley Coffee ",Medium-Light,52/70
"Antioquia Department, Colombia","Richly chocolaty, floral-toned. Dark chocolate, magnolia, almond, caramel, cedar in aroma and cup. Sweet structure with mild acidity; delicate, velvety mouthfeel. A simple finish consolidates to notes of cedar and almond.","A sweetly nut- and floral-toned blend of Colombia coffees, pleasingly straightforward. Explore Similar CoffeesClick here for more reviews from Metropolis Coffee ",Medium,42/60
"Antioquia Department, Colombia","Crisply cocoa-toned. Baking chocolate, almond nougat, carnation, golden raisin, cedar in aroma and cup. Sweet-toned with brisk acidity; silky-smooth mouthfeel. Nut-toned finish with hints of baking chocolate and golden raisin.","A friendly, accessible breakfast blend roasted to medium-light with crisp chocolate and sweet nut tones throughout.Explore Similar CoffeesClick here for more reviews from Metropolis Coffee ",Medium-Light,56/75
"Santa Ana Department, El Salvador","Sweetly nut-toned. Hazelnut, red apple, baking chocolate, magnolia, molasses in aroma and cup. Sweet structure with gentle, round acidity; crisp, lightly satiny mouthfeel. Nut-toned finish with crisp chocolate undertones.","A friendly, accessible El Salvador cup with richly sweet nut tones anchoring aroma and flavor.Explore Similar CoffeesClick here for more reviews from Fresh Roasted CoffeeClick here for more information about coffees from El Salvador ",Medium-Light,55/73
"Chiriquí, Panama","Confident, balanced, bright. Lilac, cocoa nib, red plum, sandalwood, maple syrup in aroma and cup. Richly sweet structure with juicy, vibrant acidity; very full, syrupy-smooth mouthfeel. Crisp, smooth finish centered around notes of cocoa nib and sandalwood with lilac and plum undertones. ",A classic washed Panama Geisha cup with pretty floral and stone fruit aromatics and a rich cocoa throughline.Explore Similar CoffeesClick here for more reviews from Le BrewlifeClick here for more information about coffees from Panama ,Light,62/82
"Vale da Grama, Minas Gerais State, Brazil","Gently fruit-toned, sweetly earthy. Golden raisin, hazelnut, freesia-like flowers, cedar, fresh leather in aroma and cup. Sweet-savory with round, fruity acidity; crisp, velvety mouthfeel. Finish consolidates to notes of golden raisin and fresh leather.",A friendly Brazil cup with leading notes of dried fruit and undertones of spicy florals and fresh leather.Explore Similar CoffeesClick here for more reviews from Le BrewlifeClick here for more information about coffees from Brazil ,Medium-Light,58/74
"Alishan, Taiwan","Crisply cocoa-toned. Baking chocolate, magnolia, pie cherry, oak, cane sugar in aroma and cup. Sweet structure with brisk acidity; crisp, silky mouthfeel. Cocoa-driven finish with undertones of oak and cane sugar.","An accessible, crisply sweet Taiwan cup with subtle depth.Explore Similar CoffeesClick here for more reviews from Le Brewlife ",Medium-Light,56/72
"San Cristobal Acasaguastlán, El Progreso, Sierra de las Minas, Guatemala","Complex, multi-layered, richly floral-toned. Lilac, rose hips, tangerine zest, Marcona almond, cocoa nib in aroma and cup. Balanced, high-toned structure with lyrically vibrant acidity; plush, very syrupy mouthfeel. Long, lingering, flavor-saturated finish that carries through on the promise of the cup. ","A focused, superbly confident Guatemala Geisha with exuberant florals, richly bittersweet citrus zest, and deep cocoa notes — coffee in technicolor.Explore Similar CoffeesClick here for more reviews from GK CoffeeClick here for more information about coffees from GuatemalaVisit GK Coffee ",Medium-Light,60/80
"San Juan La Laguna, Lake Atitlan, Guatemala","Bright, juicy, balanced. Pink grapefruit zest, dark chocolate, candy apple, freesia-like flowers, cedar in aroma and cup. Sweet-tart structure with lively acidity; silky, viscous mouthfeel. Chocolaty, citrus-toned finish supported by notes of fresh-cut cedar.","A chocolaty, citrusy-tart cup with spicy floral undertones and vibrant acidity and mouthfeel.Explore Similar CoffeesClick here for more reviews from Nostalgia Coffee RoastersClick here for more information about coffees from GuatemalaVisit Nostalgia Coffee Roasters ",Medium-Light,58/76
"La Libertad, Huehuetenango Department, Guatemala","Nuanced, richly bittersweet. Dark chocolate, hop flowers, apricot, brown sugar, sandalwood in aroma and cup. Sweet-savory structure with crisp, round acidity; satiny-smooth mouthfeel. Chocolaty finish with undertones of apricot and sandalwood. ","A classic Pacamara cup: deep-toned, richly savory, holistically sweet.Explore Similar CoffeesClick here for more reviews from Equator CoffeesClick here for more information about coffees from GuatemalaVisit Equator Coffees ",Medium-Light,57/74
"El Progresso, Sierra de las Minas, eastern Guatemala","Intensely fruit-centered, bright. Passion fruit, cocoa nib, ginger blossom, oak, lime zest in aroma and cup. Tart-leaning structure with citrusy acidity; crisp, velvety mouthfeel. Quietly fruit-driven finish.","A bright, juicy cup for lovers of high-toned coffees — think tropical fruit medley tempered by cocoa nib and oak.Explore Similar CoffeesClick here for more reviews from Green Stone CoffeeClick here for more information about coffees from Guatemala ",Medium-Light,56/72
"Fraijanes, central Guatemala","Cocoa-and spice-toned. Cocoa powder, black cherry, fresh-cut oak, pistachio, baking spices in aroma and cup. Sweet structure with balanced acidity; full, syrupy mouthfeel. The finish is nutty and cocoa-driven, supported by notes of black cherry and oak.","A harmonious washed Guatemala with pleasing notes of cocoa, dark stone fruit and a mélange of baking spices.Explore Similar CoffeesClick here for more reviews from Kakalove CafeClick here for more information about coffees from GuatemalaVisit Kakalove Cafe ",Medium-Light,60/80
"Huehuetenango Department, Guatemala","Deeply sweet-savory, chocolate-toned. Dark chocolate, pear, praline, magnolia, a hint of thyme in aroma and cup. Sweet-savory structure with gentle, round acidity; plush, syrupy mouthfeel. The gently drying finish is very chocolaty with undertones of praline and magnolia.",A particularly chocolaty Guatemala cup with a compelling savory throughline suggesting thyme that balances the cup’s rich sweetness.Explore Similar CoffeesClick here for more reviews from Novo Coffee RoastersClick here for more information about coffees from Guatemala ,Medium-Light,58/80
"Santa Barbara, Huehuetenango, Guatemala","Vibrantly sweet, subtly complex. Apricot, baking chocolate, hazelnut, hyacinth, cane sugar in aroma and cup. Sweetly tart structure with pert acidity; smooth, syrupy mouthfeel. Cocoa-toned finish supported by notes of stone fruit and hazelnut.","A classic washed Guatemala cup: balanced, bright and vibrant, with throughlines of stone fruit, sweet nut tones, and baking chocolate.Explore Similar CoffeesClick here for more reviews from States CoffeeClick here for more information about coffees from Guatemala ",Medium-Light,58/78
"Lake Amatitlán region, south-central Guatemala","Richly sweet, deep-toned. Honeysuckle, date, hazelnut, agave syrup, cedar in aroma and cup. Crisply sweet structure with soft acidity; crisply satiny mouthfeel. The floral-toned finish leads with notes of honeysuckle and hazelnut rounding to sweet date and cedar in the long.","A balanced, floral-toned cup with undertones of dried fruit and creamy hazelnut.Explore Similar CoffeesClick here for more reviews from Magnolia CoffeeClick here for more information about coffees from GuatemalaVisit Magnolia Coffee ",Medium-Light,54/74
"La Libertad, Huehuetenango Department, Guatemala","Briskly sweet-savory. Pie cherry, lavender, cocoa nib, cashew butter, apple blossom in aroma and cup. Richly bittersweet structure lifted by juicy acidity; smooth, satiny mouthfeel. The crisp finish consolidates to cocoa nib and cashew.","A sweetly nutty, richly bittersweet natural-processed Guatemala cup given levity by sweetly tart stone fruit notes and sweet and spicy florals.Explore Similar CoffeesClick here for more reviews from Plat Coffee RoasteryClick here for more information about coffees from Rwanda ",Medium-Light,58/76
"Acatenango Valley, Guatemala","Cleanly fruit-forward, chocolaty. Dark chocolate, dried persimmon, halvah, cedar, honey in aroma and cup. Gently bittersweet structure with brisk acidity; very full, syrupy-smooth mouthfeel. Fruit- and chocolate-toned finish, crisp and long.","A delicate, richly aromatic natural-processed Guatemala cup with leading notes of dried fruit and rich chocolate.Explore Similar CoffeesClick here for more reviews from Qin Mi CoffeeClick here for more information about coffees from Guatemala ",Medium-Light,56/74
"Caicedonia, Valle del Cauca Department, Colombia","Multi-layered, rich, intricately sweet. Lemon balm, apricot, cardamom, cocoa nib, freesia-like flowers in aroma and cup. Sweetly tart with vibrant, juicy acidity; rich, syrupy mouthfeel. The finish leads with notes of lemon and cardamom, rounding to cocoa nib in the long."," The rare and admired Sudan Rume variety of Arabica presented in classic washed-process format: deceptively simple, sweetly herbaceous, cocoa-toned, deep.Explore Similar CoffeesClick here for more reviews from Plat Coffee RoasteryClick here for more information about coffees from Colombia ",Medium-Light,59/77
"Chiriqui Province, Panama","Richly sweet, elegantly tart. Wisteria, pomegranate, fresh-cut fir, marjoram, orange zest in aroma and cup. Sweet structure with balanced acidity; lively, silky mouthfeel. The finish consolidates to suggestions of fir, marjoram and orange zest.","A gently fruit-toned, subtly aromatic washed Panama Geisha cup, comfortable and inviting.Explore Similar CoffeesClick here for more reviews from Hidden Coffee HKClick here for more information about coffees from Panama ",Light,62/80
"Caranavi, Bolivia","Crisply sweet, delicately aromatic. Hazelnut, date, tiger lily, fresh-cut fir, agave syrup in aroma and cup. Sweet structure with brisk acidity; velvety-smooth mouthfeel. The wood-framed finish is sweetly nut-toned into the long.","A friendly, gentle Bolivia cup characterized by richly sweet nut and crisp aromatic wood suggestions.Explore Similar CoffeesClick here for more reviews from Hidden Coffee HKClick here for more information about coffees from Bolivia ",Medium-Light,60/77
"Risaralda, Colombia","Delicately sweet-tart, fruit-driven. Lychee, raspberry, cocoa nib, honeysuckle, cedar in aroma and cup. Sweet-tart structure with bright, juicy acidity; crisp, satiny mouthfeel. Finish consolidates to notes of honeysuckle and cocoa nib.","A balanced, harmonious, subtly original Colombia Gesha cup: fruity, cocoa-toned, delicately floral.Explore Similar CoffeesClick here for more reviews from Mikava CoffeeClick here for more information about coffees from Colombia ",Light,60/82
"Risaralda, Colombia","Floral-toned, sweetly fermenty. Ginger blossom, baking chocolate, black cherry, lemon zest, wine barrel in aroma and cup. Sweet-savory structure with brisk acidity; silky, lightly viscous mouthfeel. The spice-toned, floral finish is supported by notes of wine barrel. ","A gently fermenty, spice-toned Colombia Gesha cup with hints of wine barrel supporting complex floral and chocolate suggestions.Explore Similar CoffeesClick here for more reviews from Mikava CoffeeClick here for more information about coffees from Colombia ",Light,62/80
"Uraga District, Guji Zone, Ethiopia","Vibrant, high-toned, delicately fruity. Strawberry guava, pink grapefruit zest, lemon balm, spearmint, cocoa nib in aroma and cup. Balanced, sweetly tart with gently juicy acidity; silky, elegant mouthfeel. Cocoa-driven finish with undertones of citrus and sweet herbs.","A heady, complex, nuanced natural Ethiopia cup with levity and balance; pairs beautifully with lemony baked goods.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from EthiopiaVisit Paradise Roasters ",Light,64/84
"Valle del Cauca Department, Colombia","Fruit-centered, chocolaty, balanced. Lychee, cocoa nib, lavender, nutmeg, sandalwood in aroma and cup. Sweetly savory with juicy acidity; round, viscous mouthfeel. Long, lingering, flavor-saturated finish with pretty notes of lychee and cocoa nib supported by lavender.","A spice-toned Colombia Sidra cup that evokes the tropics with its lyrical fruit tones throughout — juicy, vivacious, very sweet.Explore Similar CoffeesClick here for more reviews from modcup coffeeClick here for more information about coffees from ColombiaVisit modcup coffee ",Medium-Light,58/80
"Nyeri growing region, south-central Kenya","Rich-toned, enigmatic, complex. Red currant, star jasmine, pomegranate, dark chocolate, cedar in aroma and cup. Sweet-tart structure with juicy, high-toned acidity; full, syrupy-smooth mouthfeel. The flavor-saturated finish consolidates to notes of red currant and dark chocolate with hints of cedar.","Red berry and rich chocolate notes characterize this richly aromatic, deeply sweet-savory, classic Kenya cup.Explore Similar CoffeesClick here for more reviews from Drink Coffee Do StuffClick here for more information about coffees from Kenya ",Medium-Light,56/76
"Nueva Segovia, Nicaragua","Crisp, balanced, bright. Red currant, thyme, wild honey, cocoa nib, amber in aroma and cup. Sweetly tart with crisp, lively acidity; viscous, almost creamy mouthfeel. Finish is sweetly herbaceous with hints of wild honey.",A Nicaragua cup from trees of the uncommon yellow-fruited Maracaturra variety of Arabica — enlivening and inviting in its complexity.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from NicaraguaVisit Paradise Roasters ,Light,64/86
"Kona, Big Island of Hawai’i","Richly sweet, deeply savory. Dried persimmon, baking chocolate, hop flowers, myrrh, tarragon in aroma and cup. Savory-sweet structure with gentle, round acidity; very smooth, satiny mouthfeel. The rich, resonant, exceptionally long finish centers around notes of persimmon and chocolate supported by myrrh and tarragon.",The lactic-acid influence appears to contribute surprise and originality to this Kona — sweet-tart-savory pleasures in harmony — that deepen as the cup cools.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from HawaiiVisit Paradise Roasters ,Medium-Light,60/76
"Santa Elena Province, Ecuador","Evaluated as espresso. Citrusy, sweetly nut-toned. Tangerine, hazelnut, cocoa nib, Italian parsley, freesia-like flowers in aroma and small cup. Buoyant, creamy mouthfeel; in the finish rich and cocoa-driven with deep hazelnut notes carrying far into the sweet long. Quiets and simplifies in three parts milk, turning delicately nut-toned. ","An anaerobic natural Robusta that sings in the straight shot, lyric and original, then backs off to a pleasant, nut-toned murmur in three parts milk. Try it if you’re curious how striking and interesting a really good Robusta can be, but leave the milk in the fridge.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from EcuadorVisit Paradise Roasters ",Medium-Light,54/72
Peru,"Deeply sweet, chocolaty and nut-toned. Baking chocolate, almond brittle, gardenia, date, gently scorched oak in aroma and cup. Sweet-toned structure with gentle, round acidity; smooth, velvety mouthfeel. Chocolaty, nut-driven finish with undertones of gardenia and date.","A gently roast-rounded cup, richly sweet and deep-toned, carried by crisp chocolate and caramelized nut notes.Explore Similar CoffeesClick here for more reviews from Nostalgia Coffee RoastersClick here for more information about coffees from PeruVisit Nostalgia Coffee Roasters ",Medium,46/70
"Gichugu Division, Kirinyaga County, central Kenya","Sweetly tart, richly savory. Star jasmine, pink grapefruit zest, ripe blackberry, cocoa nib, toffee in aroma and cup. Brightly tart-savory, complex structure with juicy acidity; plush, very syrupy mouthfeel. Star jasmine and blackberry notes lead in the long, resonant finish.",A particularly expressive version of the classic Kenya cup with deep berry fruit and tangy citrus notes supported by rich chocolate and toffee.Explore Similar CoffeesClick here for more reviews from Bird Rock Coffee RoastersClick here for more information about coffees from KenyaVisit Bird Rock Coffee Roasters ,Medium-Light,58/78
"Ahuachapan, El Salvador","Chocolaty, sweetly savory. Baking chocolate, lemon verbena, pomegranate, fresh-cut oak, maple syrup in aroma and cup. Sweet-toned structure with round acidity; full, satiny mouthfeel. Quiet finish leads with notes of baking chocolate and maple syrup, supported by undertones of fresh-cut oak.","A rich-toned, deeply layered El Salvador Pacamara, crisply chocolaty and balanced.Explore Similar CoffeesClick here for more reviews from RamsHead Coffee RoastersClick here for more information about coffees from El SalvadorVisit RamsHead Coffee Roasters ",Medium-Light,54/72
Indonesia; Brazil,"Evaluated as espresso. Richly aromatic, chocolaty, earth-toned. Dark chocolate, shiitake mushroom, pomegranate syrup, cedar, marjoram in aroma and small cup. Velvety-smooth mouthfeel; crisp, chocolaty-tart finish. In three parts milk, tart fruit and sweet chocolate harmonize, supported by savory undertones of mushroom and sweet herbs.","A complex, deeply sweet-savory espresso blend with tart fruit notes at the top and chocolaty, earthy tones underneath.Explore Similar CoffeesClick here for more reviews from GK CoffeeVisit GK Coffee ",Medium,46/62
"Jinotega, Nicaragua","Fruit-forward, deeply sweet. Blueberry, dark chocolate, magnolia, cedar, almond in aroma and cup. Sweet structure with gentle acidity; crisp, velvety mouthfeel. Chocolaty finish with blueberry and almond undertones.","A richly fruit-toned, crisply chocolaty natural-processed Nicaragua cup.Explore Similar CoffeesClick here for more reviews from RamsHead Coffee RoastersClick here for more information about coffees from NicaraguaVisit RamsHead Coffee Roasters ",Medium-Light,58/76
"Bench-Maji Zone, Southern Ethiopia","Delicate, richly sweet, floral-toned. Star jasmine, raspberry, cocoa nib, maple syrup, sandalwood in aroma and cup. Bright, sweet-tart structure with juicy acidity; plush, satiny mouthfeel. The long finish centers around deep floral and bright berry tones, grounded by cocoa nib.","An intensely aromatic, yet delicate, natural-processed Geisha from Ethiopia: juicy, floral, berry-toned.Explore Similar CoffeesClick here for more reviews from Taster’s CoffeeClick here for more information about coffees from Ethiopia ",Light,64/86
Not disclosed,"Friendly, balanced, bittersweet. Cocoa powder, hop flowers, raisin, lily, fresh-cut fir in aroma and cup. Savory-sweet structure with bittersweet acidity; full, syrupy mouthfeel. The gently drying finish centers around notes of cocoa powder and fir.","A straight-ahead breakfast blend with inviting cocoa notes, dried fruit and sweet florals.Explore Similar CoffeesClick here for more reviews from Poppets Coffee ",Medium-Light,54/70
"Sidamo (also Sidama) growing region, south-central Ethiopia","Very fruit-centric, spicily floral. Watermelon candy, star jasmine, agave syrup, pistachio butter, pink peppercorn in aroma and cup. Brightly sweet-tart with energetic acidity; very full, viscous mouthfeel. Resonant, fruit-focused finish with pistachio undertones.","A confident, unapologetic fruit bomb of a coffee with spicy floral complication.Explore Similar CoffeesClick here for more reviews from Drink Coffee Do StuffClick here for more information about coffees from Ethiopia ",Medium-Light,59/77
"Guji Zone, Oromia Region, Southern Ethiopia","Richly sweet, deep-toned, bright and juicy. Pomegranate, dark chocolate, marshmallow, hazelnut butter, key lime in aroma and cup. Sweet structure with high-toned, balanced acidity; full, syrupy-smooth mouthfeel. The cleanly fruit-toned finish is supported by notes of hazelnut and key lime.",A fruit-toned natural-processed Ethiopia cup with an interesting marshmallow note throughout and undertones of rich nut butter and citrus.Explore Similar CoffeesClick here for more reviews from Euphora CoffeeClick here for more information about coffees from EthiopiaVisit Euphora Coffee ,Medium-Light,59/79
"Kayanza, Northern Province, Burundi","High-toned, spice-driven, deeply sweet. Almond nougat, freesia-like flowers, dried apricot, cedar, thyme in aroma and cup. Balanced, sweet-savory structure with gentle acidity; plush, satiny-smooth mouthfeel. The finish leads with notes of almond nougat and undertones of rich aromatic wood.",A crisply sweet Burundi cup with spicy floral tones and an invitingly savory thyme-like note.Explore Similar CoffeesClick here for more reviews from Small Eyes CafeClick here for more information about coffees from Burundi ,Light,64/80
Ethiopia; El Salvador; Costa Rica,"Evaluated as espresso. Crisply sweet-tart, fruit-toned. Dried raspberry, baking chocolate, Brazil nut, fir, molasses in aroma and small cup. Velvety-smooth mouthfeel; crisp, chocolaty finish. In three parts milk, chocolate and dried fruit notes come forward; nut and aromatic wood suggestions recede.","A berry-toned, crisply chocolaty espresso blend, particularly appealing in cappuccino-scaled milk.Explore Similar CoffeesClick here for more reviews from Warm Air Kafe ",Medium,52/68
"Guji Zone, Oromia Region, Southern Ethiopia","Deep-toned, chocolaty. Baking chocolate, date, hazelnut, fresh-cut cedar, brown sugar in aroma and cup. Sweet-toned structure with gentle, round acidity; full, satiny mouthfeel. Crisp, chocolaty finish with undertones of hazelnut and date.","A friendly, accessible natural Ethiopia cup with deep fruit, crisp chocolate and sweet nut notes throughout.Explore Similar CoffeesClick here for more reviews from Mr. Chao CoffeeClick here for more information about coffees from Ethiopia ",Medium-Light,54/76
"Valle del Cauca Department, Colombia","Complex, sweetly and intricately herbaceous, citrusy. Lemon verbena, cardamom, cocoa nib, ginger, aromatic orchid in aroma and cup. Sweetly savory with delicately juicy acidity; crisp, silky mouthfeel. Long, resonant, flavor-saturated finish.","A striking and original version of the rare Sudan Rume variety of Arabica: all spice, herbs and cocoa.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from ColombiaVisit JBC Coffee Roasters ",Medium-Light,57/74
"Lintong growing region, North Sumatra Province, Indonesia","Sweetly savory, deep-toned. Pipe tobacco, sandalwood, rhododendron, tangerine zest, date in aroma and cup. Savory-leaning structure with richly bittersweet acidity; very full, viscous mouthfeel. The crisp, sweet finish centers around notes of earthy pipe tobacco and date.","A classic Sumatra profile: rich, deep, sweetly savory and big-bodied.Explore Similar CoffeesClick here for more reviews from Peach Coffee RoastersClick here for more information about coffees from Sumatra ",Medium-Light,54/72
"Sidama Zone, Oromia Region, Ethiopia","High-toned, floral-driven, lyrically sweet. Wisteria, Keemun tea, white nectarine, fresh-cut basil, pink peppercorn in aroma and cup. Impeccably crystalline, balanced structure with buoyant acidity; delicately satiny mouthfeel. Very long, integrated, satisfying finish, with fruit and floral notes singing into the long.","An elegant, exquisitely balanced single-variety Ethiopia cup fermented anaerobically, then double-washed, for a pure expression of flowers and fruit. Explore Similar CoffeesClick here for more reviews from Barrington Coffee RoastingClick here for more information about coffees from EthiopiaVisit Barrington Coffee Roasting ",Light,64/86
"Huila Department, Colombia","Evaluated as espresso. Crisply sweet, balanced, deep-toned. Pomegranate, dark chocolate, molasses, sandalwood, lilac in aroma and small cup. Viscous, full mouthfeel; tart, chocolaty finish. In cappuccino-scaled milk, chocolaty and richly floral-toned.","A chocolaty-rich, sweetly floral, tartly fruit-toned single-origin Colombia espresso.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from ColombiaVisit JBC Coffee Roasters ",Medium-Light,58/78
"Aceh Province, Sumatra","Deeply sweet, richly savory. Black cherry, freesia-like flowers, almond, dark chocolate, fresh-cut cedar in aroma and cup. Sweet-savory structure with gentle, round acidity; plush, creamy mouthfeel. The resonant finish consolidates around notes of black cherry and dark chocolate with cedar undertones. ","A deep, resonant, balanced Sumatra cup with inviting notes of dark stone fruit and rich chocolate.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from SumatraVisit JBC Coffee Roasters ",Medium-Light,58/76
"Guji Zone, Oromia Region, Ethiopia","Delicate, richly aromatic, complex. Tangerine zest, cocoa nib, guava, marjoram, jasmine in aroma and cup. Sweet-tart structure with zesty-bright acidity; silky, vibrant mouthfeel. The finish leads with notes of guava and tangerine zest, rounding to cocoa and marjoram in the long.","A nuanced, multi-layered washed Guji cup with deep aromatics that lean toward citrus and sweet herbs, balanced and deepened by cocoa tones throughout. Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from EthiopiaVisit JBC Coffee Roasters ",Light,62/80
"Chimaltenango, Guatemala","Evaluated as espresso. Rich-toned, deeply chocolaty. Dark chocolate, raspberry, molasses, hazelnut, fresh-cut oak in aroma and small cup. Very syrupy mouthfeel; chocolaty, nut-toned finish. In three parts milk, a pretty floral note suggesting gardenia surfaces alongside raspberry and chocolate.","A berry- and chocolate-driven natural-processed single-origin Guatemala espresso — rich, deep, and particularly floral in milk.Explore Similar CoffeesClick here for more reviews from Temple Coffee RoastersClick here for more information about coffees from GuatemalaVisit Temple Coffee Roasters ",Medium-Light,56/72
"Yirgacheffe growing region, southern Ethiopia","Floral-toned, deeply sweet. Tea rose, nectarine, sandalwood, cocoa nib, agave syrup in aroma and cup. Sweetly tart in structure with juicy, vibrant acidity and lightly satiny mouthfeel. Finish leads with notes of cocoa nib and tea rose, supported by hints of nectarine.",A classic washed Ethiopia cup distinguished by spicy floral and bright stone fruit notes.Explore Similar CoffeesClick here for more reviews from Temple Coffee RoastersClick here for more information about coffees from EthiopiaVisit Temple Coffee Roasters ,Medium-Light,60/76
"Antigua growing region, Guatemala","Gently fruit-toned, richly bittersweet. Raspberry, hop flowers, baking chocolate, honey, lemon verbena in aroma and cup. Sweet-savory structure with balanced acidity; viscous, satiny mouthfeel. The quietly intricate finish centers around raspberry and chocolate suggestions.",A pretty natural-processed Guatemala that leads with gentle berry notes supported by rich chocolate and sweet herb undertones.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from GuatemalaVisit JBC Coffee Roasters ,Medium-Light,58/76
"Sa’dah Governorate, Yemen","Fruit-centered, sweetly herb-toned. Cherry, lemon-thyme, tiger lily, wild honey, fresh-cut oak in aroma and cup. Sweetly savory with brisk acidity; full, syrupy-smooth mouthfeel. The crisply sweet finish consolidates around notes of honey and oak.","A deeply fruit-toned Yemen cup with rich savory underpinnings and a plush, viscous mouthfeel.Explore Similar CoffeesClick here for more reviews from Barrington Coffee RoastingClick here for more information about coffees from YemenVisit Barrington Coffee Roasting ",Light,62/80
"Nyeri growing region, Kenya","Citrusy, floral-toned. Bergamot, rhododendron, cashew butter, cocoa nib, maple syrup in aroma and cup. Sweetly tart with pert acidity; very full, syrupy-smooth mouthfeel. The finish centers around notes of cashew butter and maple syrup with a hint of bergamot.","A bright, juicy, floral- and citrus-driven Kenya cup.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from KenyaVisit JBC Coffee Roasters ",Medium-Light,58/77
"Guji Zone, Oromia Region, southern Ethiopia","Bright, richly chocolaty. Dark chocolate, pink grapefruit zest, plum, almond, lemon-thyme in aroma and cup. Sweet-tart structure with brisk acidity; full, velvety mouthfeel. Chocolaty, nut-toned finish with undertones of fresh-cut cedar.","A cocoa-toned, citrusy, sweetly herby washed Ethiopia cup.Explore Similar CoffeesClick here for more reviews from Temple Coffee RoastersClick here for more information about coffees from EthiopiaVisit Temple Coffee Roasters ",Medium-Light,58/76
